Iteration,residual,force
      92,  0.1484286E+00,  0.8181681E+00
      93,  0.1470024E+00,  0.8237841E+00
      94,  0.1455893E+00,  0.8293468E+00
      95,  0.1441884E+00,  0.8348566E+00
      96,  0.1427998E+00,  0.8403139E+00
      97,  0.1414237E+00,  0.8457193E+00
      98,  0.1400602E+00,  0.8510731E+00
      99,  0.1387088E+00,  0.8563758E+00
     100,  0.1373689E+00,  0.8616279E+00
     101,  0.1360400E+00,  0.8668296E+00
     102,  0.1347220E+00,  0.8719814E+00
     103,  0.1334144E+00,  0.8770837E+00
     104,  0.1321174E+00,  0.8821370E+00
     105,  0.1308312E+00,  0.8871415E+00
     106,  0.1295557E+00,  0.8920978E+00
     107,  0.1282910E+00,  0.8970062E+00
     108,  0.1270369E+00,  0.9018671E+00
     109,  0.1257936E+00,  0.9066809E+00
     110,  0.1245610E+00,  0.9114481E+00
     111,  0.1233392E+00,  0.9161690E+00
     112,  0.1221281E+00,  0.9208440E+00
     113,  0.1209277E+00,  0.9254736E+00
     114,  0.1197378E+00,  0.9300581E+00
     115,  0.1185584E+00,  0.9345979E+00
     116,  0.1173893E+00,  0.9390933E+00
     117,  0.1162303E+00,  0.9435449E+00
     118,  0.1150815E+00,  0.9479528E+00
     119,  0.1139427E+00,  0.9523176E+00
     120,  0.1128138E+00,  0.9566396E+00
     121,  0.1116947E+00,  0.9609192E+00
     122,  0.1105854E+00,  0.9651566E+00
     123,  0.1094858E+00,  0.9693524E+00
     124,  0.1083959E+00,  0.9735068E+00
     125,  0.1073157E+00,  0.9776202E+00
     126,  0.1062451E+00,  0.9816929E+00
     127,  0.1051839E+00,  0.9857254E+00
     128,  0.1041323E+00,  0.9897180E+00
     129,  0.1030900E+00,  0.9936709E+00
     130,  0.1020570E+00,  0.9975847E+00
     131,  0.1010333E+00,  0.1001460E+01
     132,  0.1000187E+00,  0.1005296E+01
     133,  0.9901325E-01,  0.1009094E+01
     134,  0.9801682E-01,  0.1012854E+01
     135,  0.9702936E-01,  0.1016577E+01
     136,  0.9605082E-01,  0.1020263E+01
     137,  0.9508161E-01,  0.1023911E+01
     138,  0.9412140E-01,  0.1027523E+01
     139,  0.9316990E-01,  0.1031099E+01
     140,  0.9222705E-01,  0.1034639E+01
     141,  0.9129277E-01,  0.1038144E+01
     142,  0.9036700E-01,  0.1041613E+01
     143,  0.8944969E-01,  0.1045048E+01
     144,  0.8854078E-01,  0.1048447E+01
     145,  0.8764082E-01,  0.1051813E+01
     146,  0.8674923E-01,  0.1055144E+01
     147,  0.8586582E-01,  0.1058442E+01
     148,  0.8499052E-01,  0.1061707E+01
     149,  0.8412329E-01,  0.1064938E+01
     150,  0.8326405E-01,  0.1068137E+01
     151,  0.8241275E-01,  0.1071303E+01
     152,  0.8156933E-01,  0.1074437E+01
     153,  0.8073373E-01,  0.1077539E+01
     154,  0.7990589E-01,  0.1080609E+01
     155,  0.7908576E-01,  0.1083648E+01
     156,  0.7827328E-01,  0.1086657E+01
     157,  0.7746837E-01,  0.1089634E+01
     158,  0.7667100E-01,  0.1092581E+01
     159,  0.7588110E-01,  0.1095498E+01
     160,  0.7509861E-01,  0.1098385E+01
     161,  0.7432347E-01,  0.1101243E+01
     162,  0.7355563E-01,  0.1104071E+01
     163,  0.7279502E-01,  0.1106870E+01
     164,  0.7204160E-01,  0.1109640E+01
     165,  0.7129530E-01,  0.1112382E+01
     166,  0.7055607E-01,  0.1115095E+01
     167,  0.6982385E-01,  0.1117781E+01
     168,  0.6909859E-01,  0.1120439E+01
     169,  0.6838023E-01,  0.1123069E+01
     170,  0.6766872E-01,  0.1125673E+01
     171,  0.6696401E-01,  0.1128249E+01
     172,  0.6626603E-01,  0.1130799E+01
     173,  0.6557473E-01,  0.1133322E+01
     174,  0.6489007E-01,  0.1135819E+01
     175,  0.6421199E-01,  0.1138290E+01
     176,  0.6354042E-01,  0.1140735E+01
     177,  0.6287533E-01,  0.1143155E+01
     178,  0.6221666E-01,  0.1145550E+01
     179,  0.6156435E-01,  0.1147920E+01
     180,  0.6091835E-01,  0.1150265E+01
     181,  0.6027861E-01,  0.1152586E+01
     182,  0.5964509E-01,  0.1154882E+01
     183,  0.5901772E-01,  0.1157154E+01
     184,  0.5839645E-01,  0.1159403E+01
     185,  0.5778125E-01,  0.1161628E+01
     186,  0.5717205E-01,  0.1163830E+01
     187,  0.5656880E-01,  0.1166008E+01
     188,  0.5597146E-01,  0.1168164E+01
     189,  0.5537997E-01,  0.1170297E+01
     190,  0.5479430E-01,  0.1172408E+01
     191,  0.5421438E-01,  0.1174496E+01
     192,  0.5364016E-01,  0.1176563E+01
     193,  0.5307161E-01,  0.1178608E+01
     194,  0.5250867E-01,  0.1180631E+01
     195,  0.5195129E-01,  0.1182633E+01
     196,  0.5139943E-01,  0.1184613E+01
     197,  0.5085304E-01,  0.1186573E+01
     198,  0.5031207E-01,  0.1188512E+01
     199,  0.4977647E-01,  0.1190430E+01
     200,  0.4924621E-01,  0.1192328E+01
     201,  0.4872122E-01,  0.1194206E+01
     202,  0.4820148E-01,  0.1196064E+01
     203,  0.4768692E-01,  0.1197903E+01
     204,  0.4717751E-01,  0.1199721E+01
     205,  0.4667320E-01,  0.1201521E+01
     206,  0.4617394E-01,  0.1203301E+01
     207,  0.4567970E-01,  0.1205063E+01
     208,  0.4519042E-01,  0.1206805E+01
     209,  0.4470607E-01,  0.1208529E+01
     210,  0.4422659E-01,  0.1210235E+01
     211,  0.4375196E-01,  0.1211922E+01
     212,  0.4328211E-01,  0.1213591E+01
     213,  0.4281702E-01,  0.1215243E+01
     214,  0.4235663E-01,  0.1216877E+01
     215,  0.4190091E-01,  0.1218493E+01
     216,  0.4144981E-01,  0.1220092E+01
     217,  0.4100329E-01,  0.1221674E+01
     218,  0.4056132E-01,  0.1223239E+01
     219,  0.4012384E-01,  0.1224787E+01
     220,  0.3969085E-01,  0.1226318E+01
     221,  0.3926263E-01,  0.1227833E+01
     222,  0.3883879E-01,  0.1229332E+01
     223,  0.3841926E-01,  0.1230815E+01
     224,  0.3800403E-01,  0.1232281E+01
     225,  0.3759305E-01,  0.1233732E+01
     226,  0.3718627E-01,  0.1235167E+01
     227,  0.3678367E-01,  0.1236587E+01
     228,  0.3638520E-01,  0.1237991E+01
     229,  0.3599082E-01,  0.1239380E+01
     230,  0.3560050E-01,  0.1240755E+01
     231,  0.3521420E-01,  0.1242114E+01
     232,  0.3483188E-01,  0.1243458E+01
     233,  0.3445351E-01,  0.1244788E+01
     234,  0.3407905E-01,  0.1246104E+01
     235,  0.3370846E-01,  0.1247406E+01
     236,  0.3334170E-01,  0.1248693E+01
     237,  0.3297875E-01,  0.1249966E+01
     238,  0.3261955E-01,  0.1251226E+01
     239,  0.3226409E-01,  0.1252471E+01
     240,  0.3191232E-01,  0.1253704E+01
     241,  0.3156421E-01,  0.1254922E+01
     242,  0.3121973E-01,  0.1256128E+01
     243,  0.3087883E-01,  0.1257321E+01
     244,  0.3054149E-01,  0.1258500E+01
     245,  0.3020768E-01,  0.1259667E+01
     246,  0.2987735E-01,  0.1260821E+01
     247,  0.2955047E-01,  0.1261962E+01
     248,  0.2922702E-01,  0.1263091E+01
     249,  0.2890696E-01,  0.1264207E+01
     250,  0.2859026E-01,  0.1265312E+01
     251,  0.2827688E-01,  0.1266404E+01
     252,  0.2796679E-01,  0.1267484E+01
     253,  0.2765996E-01,  0.1268553E+01
     254,  0.2735637E-01,  0.1269610E+01
     255,  0.2705597E-01,  0.1270655E+01
     256,  0.2675873E-01,  0.1271689E+01
     257,  0.2646464E-01,  0.1272711E+01
     258,  0.2617365E-01,  0.1273722E+01
     259,  0.2588574E-01,  0.1274723E+01
     260,  0.2560087E-01,  0.1275712E+01
     261,  0.2531902E-01,  0.1276690E+01
     262,  0.2504015E-01,  0.1277658E+01
     263,  0.2476424E-01,  0.1278615E+01
     264,  0.2449126E-01,  0.1279561E+01
     265,  0.2422118E-01,  0.1280497E+01
     266,  0.2395397E-01,  0.1281423E+01
     267,  0.2368960E-01,  0.1282338E+01
     268,  0.2342804E-01,  0.1283244E+01
     269,  0.2316928E-01,  0.1284139E+01
     270,  0.2291327E-01,  0.1285025E+01
     271,  0.2265999E-01,  0.1285900E+01
     272,  0.2240942E-01,  0.1286767E+01
     273,  0.2216152E-01,  0.1287623E+01
     274,  0.2191627E-01,  0.1288470E+01
     275,  0.2167365E-01,  0.1289308E+01
     276,  0.2143363E-01,  0.1290137E+01
     277,  0.2119618E-01,  0.1290956E+01
     278,  0.2096127E-01,  0.1291766E+01
     279,  0.2072889E-01,  0.1292568E+01
     280,  0.2049900E-01,  0.1293360E+01
     281,  0.2027158E-01,  0.1294144E+01
     282,  0.2004661E-01,  0.1294919E+01
     283,  0.1982405E-01,  0.1295685E+01
     284,  0.1960390E-01,  0.1296443E+01
     285,  0.1938611E-01,  0.1297193E+01
     286,  0.1917067E-01,  0.1297934E+01
     287,  0.1895756E-01,  0.1298667E+01
     288,  0.1874675E-01,  0.1299392E+01
     289,  0.1853821E-01,  0.1300109E+01
     290,  0.1833193E-01,  0.1300818E+01
     291,  0.1812787E-01,  0.1301519E+01
     292,  0.1792603E-01,  0.1302212E+01
     293,  0.1772637E-01,  0.1302897E+01
     294,  0.1752888E-01,  0.1303575E+01
     295,  0.1733352E-01,  0.1304246E+01
     296,  0.1714029E-01,  0.1304909E+01
     297,  0.1694915E-01,  0.1305564E+01
     298,  0.1676009E-01,  0.1306212E+01
     299,  0.1657308E-01,  0.1306853E+01
     300,  0.1638810E-01,  0.1307487E+01
     301,  0.1620514E-01,  0.1308114E+01
     302,  0.1602417E-01,  0.1308734E+01
     303,  0.1584517E-01,  0.1309347E+01
     304,  0.1566812E-01,  0.1309953E+01
     305,  0.1549300E-01,  0.1310552E+01
     306,  0.1531979E-01,  0.1311145E+01
     307,  0.1514847E-01,  0.1311730E+01
     308,  0.1497902E-01,  0.1312310E+01
     309,  0.1481142E-01,  0.1312883E+01
     310,  0.1464566E-01,  0.1313449E+01
     311,  0.1448170E-01,  0.1314010E+01
     312,  0.1431954E-01,  0.1314564E+01
     313,  0.1415916E-01,  0.1315111E+01
     314,  0.1400053E-01,  0.1315653E+01
     315,  0.1384364E-01,  0.1316189E+01
     316,  0.1368847E-01,  0.1316718E+01
     317,  0.1353500E-01,  0.1317242E+01
     318,  0.1338322E-01,  0.1317760E+01
     319,  0.1323310E-01,  0.1318272E+01
     320,  0.1308463E-01,  0.1318778E+01
     321,  0.1293780E-01,  0.1319279E+01
     322,  0.1279257E-01,  0.1319774E+01
     323,  0.1264895E-01,  0.1320263E+01
     324,  0.1250690E-01,  0.1320747E+01
     325,  0.1236642E-01,  0.1321225E+01
     326,  0.1222748E-01,  0.1321699E+01
     327,  0.1209008E-01,  0.1322166E+01
     328,  0.1195419E-01,  0.1322629E+01
     329,  0.1181980E-01,  0.1323086E+01
     330,  0.1168689E-01,  0.1323539E+01
     331,  0.1155545E-01,  0.1323986E+01
     332,  0.1142546E-01,  0.1324428E+01
     333,  0.1129691E-01,  0.1324865E+01
     334,  0.1116977E-01,  0.1325297E+01
     335,  0.1104404E-01,  0.1325725E+01
     336,  0.1091971E-01,  0.1326147E+01
     337,  0.1079674E-01,  0.1326565E+01
     338,  0.1067514E-01,  0.1326978E+01
     339,  0.1055489E-01,  0.1327387E+01
     340,  0.1043596E-01,  0.1327791E+01
     341,  0.1031836E-01,  0.1328190E+01
     342,  0.1020205E-01,  0.1328585E+01
     343,  0.1008704E-01,  0.1328976E+01
     344,  0.9973303E-02,  0.1329362E+01
     345,  0.9860828E-02,  0.1329743E+01
     346,  0.9749601E-02,  0.1330121E+01
     347,  0.9639610E-02,  0.1330494E+01
     348,  0.9530840E-02,  0.1330863E+01
     349,  0.9423278E-02,  0.1331227E+01
     350,  0.9316913E-02,  0.1331588E+01
     351,  0.9211730E-02,  0.1331945E+01
     352,  0.9107717E-02,  0.1332297E+01
     353,  0.9004861E-02,  0.1332646E+01
     354,  0.8903150E-02,  0.1332990E+01
     355,  0.8802571E-02,  0.1333331E+01
     356,  0.8703113E-02,  0.1333668E+01
     357,  0.8604762E-02,  0.1334001E+01
     358,  0.8507508E-02,  0.1334331E+01
     359,  0.8411338E-02,  0.1334656E+01
     360,  0.8316240E-02,  0.1334978E+01
     361,  0.8222203E-02,  0.1335296E+01
     362,  0.8129215E-02,  0.1335611E+01
     363,  0.8037265E-02,  0.1335922E+01
     364,  0.7946342E-02,  0.1336230E+01
     365,  0.7856434E-02,  0.1336534E+01
     366,  0.7767530E-02,  0.1336835E+01
     367,  0.7679620E-02,  0.1337132E+01
     368,  0.7592693E-02,  0.1337426E+01
     369,  0.7506737E-02,  0.1337717E+01
     370,  0.7421743E-02,  0.1338004E+01
     371,  0.7337699E-02,  0.1338288E+01
     372,  0.7254596E-02,  0.1338569E+01
     373,  0.7172423E-02,  0.1338847E+01
     374,  0.7091170E-02,  0.1339121E+01
     375,  0.7010826E-02,  0.1339393E+01
     376,  0.6931383E-02,  0.1339661E+01
     377,  0.6852830E-02,  0.1339927E+01
     378,  0.6775157E-02,  0.1340189E+01
     379,  0.6698355E-02,  0.1340448E+01
     380,  0.6622414E-02,  0.1340705E+01
     381,  0.6547325E-02,  0.1340958E+01
     382,  0.6473078E-02,  0.1341209E+01
     383,  0.6399664E-02,  0.1341457E+01
     384,  0.6327075E-02,  0.1341702E+01
     385,  0.6255300E-02,  0.1341944E+01
     386,  0.6184331E-02,  0.1342183E+01
     387,  0.6114159E-02,  0.1342420E+01
     388,  0.6044775E-02,  0.1342654E+01
     389,  0.5976171E-02,  0.1342886E+01
     390,  0.5908338E-02,  0.1343114E+01
     391,  0.5841268E-02,  0.1343341E+01
     392,  0.5774952E-02,  0.1343564E+01
     393,  0.5709381E-02,  0.1343785E+01
     394,  0.5644548E-02,  0.1344004E+01
     395,  0.5580445E-02,  0.1344220E+01
     396,  0.5517063E-02,  0.1344434E+01
     397,  0.5454394E-02,  0.1344645E+01
     398,  0.5392431E-02,  0.1344854E+01
     399,  0.5331165E-02,  0.1345060E+01
     400,  0.5270590E-02,  0.1345264E+01
     401,  0.5210697E-02,  0.1345466E+01
     402,  0.5151478E-02,  0.1345666E+01
     403,  0.5092927E-02,  0.1345863E+01
     404,  0.5035036E-02,  0.1346058E+01
     405,  0.4977798E-02,  0.1346251E+01
     406,  0.4921205E-02,  0.1346441E+01
     407,  0.4865250E-02,  0.1346630E+01
     408,  0.4809927E-02,  0.1346816E+01
     409,  0.4755227E-02,  0.1347000E+01
     410,  0.4701145E-02,  0.1347182E+01
     411,  0.4647673E-02,  0.1347362E+01
     412,  0.4594804E-02,  0.1347540E+01
     413,  0.4542533E-02,  0.1347716E+01
     414,  0.4490852E-02,  0.1347890E+01
     415,  0.4439754E-02,  0.1348062E+01
     416,  0.4389234E-02,  0.1348232E+01
     417,  0.4339284E-02,  0.1348400E+01
     418,  0.4289898E-02,  0.1348566E+01
     419,  0.4241071E-02,  0.1348731E+01
     420,  0.4192796E-02,  0.1348893E+01
     421,  0.4145066E-02,  0.1349053E+01
     422,  0.4097876E-02,  0.1349212E+01
     423,  0.4051220E-02,  0.1349369E+01
     424,  0.4005091E-02,  0.1349524E+01
     425,  0.3959484E-02,  0.1349678E+01
     426,  0.3914393E-02,  0.1349829E+01
     427,  0.3869812E-02,  0.1349979E+01
     428,  0.3825736E-02,  0.1350127E+01
     429,  0.3782159E-02,  0.1350274E+01
     430,  0.3739074E-02,  0.1350419E+01
     431,  0.3696478E-02,  0.1350562E+01
     432,  0.3654364E-02,  0.1350703E+01
     433,  0.3612727E-02,  0.1350843E+01
     434,  0.3571561E-02,  0.1350982E+01
     435,  0.3530862E-02,  0.1351118E+01
     436,  0.3490624E-02,  0.1351254E+01
     437,  0.3450842E-02,  0.1351387E+01
     438,  0.3411510E-02,  0.1351519E+01
     439,  0.3372624E-02,  0.1351650E+01
     440,  0.3334180E-02,  0.1351779E+01
     441,  0.3296170E-02,  0.1351907E+01
     442,  0.3258592E-02,  0.1352033E+01
     443,  0.3221440E-02,  0.1352158E+01
     444,  0.3184710E-02,  0.1352281E+01
     445,  0.3148395E-02,  0.1352403E+01
     446,  0.3112493E-02,  0.1352524E+01
     447,  0.3076998E-02,  0.1352643E+01
     448,  0.3041906E-02,  0.1352761E+01
     449,  0.3007212E-02,  0.1352877E+01
     450,  0.2972912E-02,  0.1352993E+01
     451,  0.2939001E-02,  0.1353106E+01
     452,  0.2905475E-02,  0.1353219E+01
     453,  0.2872330E-02,  0.1353330E+01
     454,  0.2839561E-02,  0.1353440E+01
     455,  0.2807164E-02,  0.1353549E+01
     456,  0.2775135E-02,  0.1353656E+01
     457,  0.2743469E-02,  0.1353763E+01
     458,  0.2712164E-02,  0.1353868E+01
     459,  0.2681214E-02,  0.1353972E+01
     460,  0.2650615E-02,  0.1354074E+01
     461,  0.2620365E-02,  0.1354176E+01
     462,  0.2590458E-02,  0.1354276E+01
     463,  0.2560891E-02,  0.1354375E+01
     464,  0.2531659E-02,  0.1354474E+01
     465,  0.2502761E-02,  0.1354570E+01
     466,  0.2474190E-02,  0.1354666E+01
     467,  0.2445945E-02,  0.1354761E+01
     468,  0.2418021E-02,  0.1354855E+01
     469,  0.2390414E-02,  0.1354947E+01
     470,  0.2363121E-02,  0.1355039E+01
     471,  0.2336138E-02,  0.1355129E+01
     472,  0.2309463E-02,  0.1355219E+01
     473,  0.2283091E-02,  0.1355307E+01
     474,  0.2257019E-02,  0.1355395E+01
     475,  0.2231243E-02,  0.1355481E+01
     476,  0.2205761E-02,  0.1355567E+01
     477,  0.2180569E-02,  0.1355651E+01
     478,  0.2155663E-02,  0.1355735E+01
     479,  0.2131041E-02,  0.1355817E+01
     480,  0.2106699E-02,  0.1355899E+01
     481,  0.2082634E-02,  0.1355980E+01
     482,  0.2058843E-02,  0.1356059E+01
     483,  0.2035323E-02,  0.1356138E+01
     484,  0.2012071E-02,  0.1356216E+01
     485,  0.1989083E-02,  0.1356293E+01
     486,  0.1966358E-02,  0.1356369E+01
     487,  0.1943891E-02,  0.1356445E+01
     488,  0.1921680E-02,  0.1356519E+01
     489,  0.1899721E-02,  0.1356593E+01
     490,  0.1878013E-02,  0.1356666E+01
     491,  0.1856553E-02,  0.1356737E+01
     492,  0.1835336E-02,  0.1356809E+01
     493,  0.1814362E-02,  0.1356879E+01
     494,  0.1793626E-02,  0.1356948E+01
     495,  0.1773127E-02,  0.1357017E+01
     496,  0.1752862E-02,  0.1357085E+01
     497,  0.1732827E-02,  0.1357152E+01
     498,  0.1713020E-02,  0.1357218E+01
     499,  0.1693440E-02,  0.1357284E+01
     500,  0.1674082E-02,  0.1357349E+01
     501,  0.1654945E-02,  0.1357413E+01
     502,  0.1636027E-02,  0.1357476E+01
     503,  0.1617324E-02,  0.1357539E+01
     504,  0.1598834E-02,  0.1357601E+01
     505,  0.1580555E-02,  0.1357662E+01
     506,  0.1562485E-02,  0.1357723E+01
     507,  0.1544620E-02,  0.1357783E+01
     508,  0.1526960E-02,  0.1357842E+01
     509,  0.1509500E-02,  0.1357900E+01
     510,  0.1492240E-02,  0.1357958E+01
     511,  0.1475177E-02,  0.1358015E+01
     512,  0.1458308E-02,  0.1358072E+01
     513,  0.1441632E-02,  0.1358128E+01
     514,  0.1425146E-02,  0.1358183E+01
     515,  0.1408848E-02,  0.1358237E+01
     516,  0.1392736E-02,  0.1358291E+01
     517,  0.1376808E-02,  0.1358345E+01
     518,  0.1361062E-02,  0.1358398E+01
     519,  0.1345495E-02,  0.1358450E+01
     520,  0.1330106E-02,  0.1358501E+01
     521,  0.1314892E-02,  0.1358552E+01
     522,  0.1299853E-02,  0.1358603E+01
     523,  0.1284984E-02,  0.1358652E+01
     524,  0.1270286E-02,  0.1358702E+01
     525,  0.1255755E-02,  0.1358750E+01
     526,  0.1241390E-02,  0.1358798E+01
     527,  0.1227190E-02,  0.1358846E+01
     528,  0.1213151E-02,  0.1358893E+01
     529,  0.1199272E-02,  0.1358939E+01
     530,  0.1185552E-02,  0.1358985E+01
     531,  0.1171989E-02,  0.1359031E+01
     532,  0.1158581E-02,  0.1359076E+01
     533,  0.1145325E-02,  0.1359120E+01
     534,  0.1132221E-02,  0.1359164E+01
     535,  0.1119267E-02,  0.1359207E+01
     536,  0.1106461E-02,  0.1359250E+01
     537,  0.1093800E-02,  0.1359292E+01
     538,  0.1081285E-02,  0.1359334E+01
     539,  0.1068912E-02,  0.1359376E+01
     540,  0.1056681E-02,  0.1359417E+01
     541,  0.1044589E-02,  0.1359457E+01
     542,  0.1032636E-02,  0.1359497E+01
     543,  0.1020819E-02,  0.1359537E+01
     544,  0.1009137E-02,  0.1359576E+01
     545,  0.9975886E-03,  0.1359614E+01
     546,  0.9861721E-03,  0.1359653E+01
     547,  0.9748860E-03,  0.1359690E+01
     548,  0.9637289E-03,  0.1359728E+01
     549,  0.9526992E-03,  0.1359765E+01
     550,  0.9417956E-03,  0.1359801E+01
     551,  0.9310166E-03,  0.1359837E+01
     552,  0.9203608E-03,  0.1359873E+01
     553,  0.9098267E-03,  0.1359908E+01
     554,  0.8994130E-03,  0.1359943E+01
     555,  0.8891184E-03,  0.1359978E+01
     556,  0.8789413E-03,  0.1360012E+01
     557,  0.8688807E-03,  0.1360045E+01
     558,  0.8589350E-03,  0.1360079E+01
     559,  0.8491029E-03,  0.1360111E+01
     560,  0.8393833E-03,  0.1360144E+01
     561,  0.8297748E-03,  0.1360176E+01
     562,  0.8202761E-03,  0.1360208E+01
     563,  0.8108860E-03,  0.1360239E+01
     564,  0.8016032E-03,  0.1360270E+01
     565,  0.7924266E-03,  0.1360301E+01
     566,  0.7833548E-03,  0.1360331E+01
     567,  0.7743868E-03,  0.1360361E+01
     568,  0.7655214E-03,  0.1360391E+01
     569,  0.7567573E-03,  0.1360420E+01
     570,  0.7480934E-03,  0.1360449E+01
     571,  0.7395285E-03,  0.1360478E+01
     572,  0.7310616E-03,  0.1360506E+01
     573,  0.7226916E-03,  0.1360534E+01
     574,  0.7144172E-03,  0.1360562E+01
     575,  0.7062375E-03,  0.1360589E+01
     576,  0.6981513E-03,  0.1360616E+01
     577,  0.6901576E-03,  0.1360643E+01
     578,  0.6822553E-03,  0.1360670E+01
     579,  0.6744433E-03,  0.1360696E+01
     580,  0.6667208E-03,  0.1360722E+01
     581,  0.6590865E-03,  0.1360747E+01
     582,  0.6515396E-03,  0.1360772E+01
     583,  0.6440790E-03,  0.1360797E+01
     584,  0.6367037E-03,  0.1360822E+01
     585,  0.6294128E-03,  0.1360846E+01
     586,  0.6222053E-03,  0.1360871E+01
     587,  0.6150803E-03,  0.1360894E+01
     588,  0.6080367E-03,  0.1360918E+01
     589,  0.6010738E-03,  0.1360941E+01
     590,  0.5941905E-03,  0.1360964E+01
     591,  0.5873859E-03,  0.1360987E+01
     592,  0.5806592E-03,  0.1361010E+01
     593,  0.5740094E-03,  0.1361032E+01
     594,  0.5674358E-03,  0.1361054E+01
     595,  0.5609373E-03,  0.1361076E+01
     596,  0.5545132E-03,  0.1361097E+01
     597,  0.5481626E-03,  0.1361118E+01
     598,  0.5418846E-03,  0.1361139E+01
     599,  0.5356785E-03,  0.1361160E+01
     600,  0.5295434E-03,  0.1361181E+01
     601,  0.5234785E-03,  0.1361201E+01
     602,  0.5174830E-03,  0.1361221E+01
     603,  0.5115561E-03,  0.1361241E+01
     604,  0.5056971E-03,  0.1361260E+01
     605,  0.4999051E-03,  0.1361280E+01
     606,  0.4941794E-03,  0.1361299E+01
